Date,,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,Ballots returned daily,InPersonAbsentee
"Wednesday, September 16, 2020",,MILWAUKEE COUNTY,185719,0,0,,0
"Thursday, September 17, 2020",1,MILWAUKEE COUNTY,187005,158347,0,0,0
"Friday, September 18, 2020",2,MILWAUKEE COUNTY,188417,160675,0,0,0
"Saturday, September 19, 2020",3,MILWAUKEE COUNTY,189555,168583,11,11,0
"Sunday, September 20, 2020",4,MILWAUKEE COUNTY,189555,168583,11,0,0
"Monday, September 21, 2020",5,MILWAUKEE COUNTY,190481,168698,45,34,0
"Tuesday, September 22, 2020",6,MILWAUKEE COUNTY,193155,181109,2145,2100,0
"Wednesday, September 23, 2020",7,MILWAUKEE COUNTY,195485,186023,5678,3533,0
"Thursday, September 24, 2020",8,MILWAUKEE COUNTY,197805,192068,10831,5153,0
"Friday, September 25, 2020",9,MILWAUKEE COUNTY,199796,196406,15034,4203,0
"Saturday, September 26, 2020",10,MILWAUKEE COUNTY,201459,198419,20006,4972,0
"Sunday, September 27, 2020",11,MILWAUKEE COUNTY,201891,199922,24039,4033,0
"Monday, September 28, 2020",12,MILWAUKEE COUNTY,202574,200009,27037,2998,0
"Tuesday, September 29, 2020",13,MILWAUKEE COUNTY,204679,203301,35090,8053,0
"Wednesday, September 30, 2020",14,MILWAUKEE COUNTY,206994,205525,44216,9126,0
"Thursday, October 1, 2020",15,MILWAUKEE COUNTY,208889,207900,53637,9421,0
"Friday, October 2, 2020",16,MILWAUKEE COUNTY,211371,209986,63000,9363,0
"Saturday, October 3, 2020",17,MILWAUKEE COUNTY,214310,211121,70734,7734,0
"Sunday, October 4, 2020",18,MILWAUKEE COUNTY,214973,211180,72880,2146,0
"Monday, October 5, 2020",19,MILWAUKEE COUNTY,216201,214866,74440,1560,0
"Tuesday, October 6, 2020",20,MILWAUKEE COUNTY,219108,217149,84794,10354,0
"Wednesday, October 7, 2020",21,MILWAUKEE COUNTY,221316,220218,89209,4415,0
"Thursday, October 8, 2020",22,MILWAUKEE COUNTY,223826,222862,96823,7614,0
"Friday, October 9, 2020",23,MILWAUKEE COUNTY,226262,225118,101581,4758,0
"Saturday, October 10, 2020",24,MILWAUKEE COUNTY,228159,226429,106167,4586,0
"Sunday, October 11, 2020",25,MILWAUKEE COUNTY,228468,226564,107781,1614,0
"Monday, October 12, 2020",26,MILWAUKEE COUNTY,229076,227715,109184,1403,0
"Tuesday, October 13, 2020",27,MILWAUKEE COUNTY,232587,229769,114679,5495,0
"Wednesday, October 14, 2020",28,MILWAUKEE COUNTY,234745,233774,122053,7374,0
"Thursday, October 15, 2020",29,MILWAUKEE COUNTY,237639,236572,126777,4724,0
"Friday, October 16, 2020",30,MILWAUKEE COUNTY,239641,238923,132701,5924,0
"Saturday, October 17, 2020",31,MILWAUKEE COUNTY,240920,239661,138382,5681,0
"Sunday, October 18, 2020",32,MILWAUKEE COUNTY,241329,239675,139868,1486,0
"Monday, October 19, 2020",33,MILWAUKEE COUNTY,241472,240645,141069,1201,0
"Tuesday, October 20, 2020",34,MILWAUKEE COUNTY,243153,242446,148998,7929,0
"Wednesday, October 21, 2020",35,MILWAUKEE COUNTY,253801,253023,164360,15362,10340
"Thursday, October 22, 2020",36,MILWAUKEE COUNTY,263502,262486,179833,15473,20320
"Friday, October 23, 2020",37,MILWAUKEE COUNTY,272163,271199,193998,14165,29071
"Saturday, October 24, 2020",38,MILWAUKEE COUNTY,281329,280519,206452,12454,38508
"Sunday, October 25, 2020",39,MILWAUKEE COUNTY,285284,284396,214636,8184,42945
"Monday, October 26, 2020",40,MILWAUKEE COUNTY,287886,287256,219189,4553,45914
"Tuesday, October 27, 2020",41,MILWAUKEE COUNTY,296699,296200,235695,16506,55112
"Wednesday, October 28, 2020",42,MILWAUKEE COUNTY,305689,304869,250473,14778,64830
"Thursday, October 29, 2020",43,MILWAUKEE COUNTY,315312,314857,265685,15212,75291
"Friday, October 30, 2020",44,MILWAUKEE COUNTY,325341,324822,282440,16755,86101
"Saturday, October 31, 2020",45,MILWAUKEE COUNTY,336542,336123,299610,17170,98315
"Sunday, November 1, 2020",46,MILWAUKEE COUNTY,341341,340923,307251,7641,103621
"Monday, November 2, 2020",47,MILWAUKEE COUNTY,346276,345859,314011,6760,108987
"Tuesday, November 3, 2020",48,MILWAUKEE COUNTY,346311,345878,319734,5723,108994
"Wednesday, November 4, 2020",49,MILWAUKEE COUNTY,346357,345896,325547,5813,109002
"Thursday, November 5, 2020",50,MILWAUKEE COUNTY,346348,345887,325574,27,109002
"Friday, November 6, 2020",51,MILWAUKEE COUNTY,346332,345871,325587,13,109002
